Date,Oil and fuels
1988 JAN,-2.7
1988 FEB,-6.7
1988 MAR,-6.9
1988 APR,-7.2
1988 MAY,-5.1
1988 JUN,-8.5
1988 JUL,-6.3
1988 AUG,-12.6
1988 SEP,-14.7
1988 OCT,-12.5
1988 NOV,-15.4
1988 DEC,-9.2
1989 JAN,-8.2
1989 FEB,-4.5
1989 MAR,2.3
1989 APR,7.6
1989 MAY,4
1989 JUN,1.6
1989 JUL,1.1
1989 AUG,4
1989 SEP,13.8
1989 OCT,20.6
1989 NOV,26.2
1989 DEC,27.1
1990 JAN,39.4
1990 FEB,25.9
1990 MAR,14.4
1990 APR,9.7
1990 MAY,11.3
1990 JUN,11.8
1990 JUL,7.8
1990 AUG,43
1990 SEP,47.5
1990 OCT,80.6
1990 NOV,43.1
1990 DEC,23.9
1991 JAN,19.5
1991 FEB,30
1991 MAR,13.7
1991 APR,7.1
1991 MAY,10.8
1991 JUN,13.3
1991 JUL,13.8
1991 AUG,-12.6
1991 SEP,-16.9
1991 OCT,-37.3
1991 NOV,-23.9
1991 DEC,-21.3
1992 JAN,-29.8
1992 FEB,-26.5
1992 MAR,-13
1992 APR,-8.9
1992 MAY,-10.2
1992 JUN,-9.6
1992 JUL,-7.3
1992 AUG,-10.4
1992 SEP,-15.7
1992 OCT,-4.1
1992 NOV,-0.8
1992 DEC,2.6
1993 JAN,9.1
1993 FEB,7
1993 MAR,13.5
1993 APR,11.2
1993 MAY,9.2
1993 JUN,7.6
1993 JUL,6.5
1993 AUG,7.1
1993 SEP,10.3
1993 OCT,1.6
1993 NOV,-3.9
1993 DEC,-2.2
1994 JAN,-4.5
1994 FEB,-6.3
1994 MAR,-9.4
1994 APR,1.3
1994 MAY,2.4
1994 JUN,3.1
1994 JUL,3.4
1994 AUG,5.5
1994 SEP,4.4
1994 OCT,0.7
1994 NOV,0.7
1994 DEC,0.7
1995 JAN,2.7
1995 FEB,4.2
1995 MAR,4.5
1995 APR,-3.2
1995 MAY,-3.5
1995 JUN,-2.4
1995 JUL,-2.1
1995 AUG,-2.2
1995 SEP,0.3
1995 OCT,-1.2
1995 NOV,-0.1
1995 DEC,3.5
1996 JAN,6.1
1996 FEB,5.5
1996 MAR,8.3
1996 APR,9.8
1996 MAY,5.1
1996 JUN,3.7
1996 JUL,5
1996 AUG,5.7
1996 SEP,14.6
1996 OCT,25.9
1996 NOV,15
1996 DEC,16.3
1997 JAN,14.1
1997 FEB,10.4
1997 MAR,2.1
1997 APR,-3.3
1997 MAY,1.4
1997 JUN,1.6
1997 JUL,-1.9
1997 AUG,-0.3
1997 SEP,-10.9
1997 OCT,-16
1997 NOV,-8.8
1997 DEC,-13.7
1998 JAN,-18
1998 FEB,-18.1
1998 MAR,-17.3
1998 APR,-14.4
1998 MAY,-14.1
1998 JUN,-14.9
1998 JUL,-14.7
1998 AUG,-17.9
1998 SEP,-14.6
1998 OCT,-14.5
1998 NOV,-16.6
1998 DEC,-19.4
1999 JAN,-14.7
1999 FEB,-11.5
1999 MAR,-4
1999 APR,2.9
1999 MAY,1.7
1999 JUN,4.1
1999 JUL,17.2
1999 AUG,20.7
1999 SEP,24.2
1999 OCT,23.2
1999 NOV,32
1999 DEC,55.6
2000 JAN,51.2
2000 FEB,52.8
2000 MAR,50.6
2000 APR,37.4
2000 MAY,36.4
2000 JUN,38.9
2000 JUL,34.3
2000 AUG,33
2000 SEP,47.8
2000 OCT,52.2
2000 NOV,38.4
2000 DEC,19.4
2001 JAN,11.4
2001 FEB,12.1
2001 MAR,7.3
2001 APR,6.7
2001 MAY,11.8
2001 JUN,10
2001 JUL,0.1
2001 AUG,-2.5
2001 SEP,-5.9
2001 OCT,-21.4
2001 NOV,-22.7
2001 DEC,-23.2
2002 JAN,-13.5
2002 FEB,-16.6
2002 MAR,-10.4
2002 APR,-5.2
2002 MAY,-8
2002 JUN,-10.1
2002 JUL,-8.4
2002 AUG,-7.5
2002 SEP,-9.3
2002 OCT,5.6
2002 NOV,3.9
2002 DEC,18.4
2003 JAN,19.7
2003 FEB,38.8
2003 MAR,35.2
2003 APR,5.9
2003 MAY,1.2
2003 JUN,2.2
2003 JUL,5.7
2003 AUG,9.9
2003 SEP,-1.9
2003 OCT,2.3
2003 NOV,10.9
2003 DEC,5.1
2004 JAN,-0.4
2004 FEB,-13.4
2004 MAR,-14.6
2004 APR,11.7
2004 MAY,23.2
2004 JUN,19.4
2004 JUL,19.1
2004 AUG,24
2004 SEP,29.7
2004 OCT,34.9
2004 NOV,28.1
2004 DEC,16.9
2005 JAN,19.5
2005 FEB,22
2005 MAR,34.3
2005 APR,30.6
2005 MAY,17.8
2005 JUN,33
2005 JUL,38.1
2005 AUG,35.3
2005 SEP,32.9
2005 OCT,25
2005 NOV,20.3
2005 DEC,31.1
2006 JAN,33.2
2006 FEB,35.1
2006 MAR,22.8
2006 APR,22.3
2006 MAY,28.9
2006 JUN,19.2
2006 JUL,16.3
2006 AUG,8.7
2006 SEP,1.9
2006 OCT,-8.4
2006 NOV,-3
2006 DEC,-2.2
2007 JAN,-10.1
2007 FEB,-9.8
2007 MAR,-8
2007 APR,-7
2007 MAY,-7.9
2007 JUN,-5.9
2007 JUL,-6.4
2007 AUG,-6.3
2007 SEP,3.4
2007 OCT,14.4
2007 NOV,33
2007 DEC,28.5
2008 JAN,42.6
2008 FEB,40
2008 MAR,51.7
2008 APR,59.4
2008 MAY,71.5
2008 JUN,74.2
2008 JUL,78.9
2008 AUG,58.4
2008 SEP,47.2
2008 OCT,26.7
2008 NOV,6
2008 DEC,-3.6
2009 JAN,-9
2009 FEB,-13.4
2009 MAR,-28.8
2009 APR,-31.5
2009 MAY,-36
2009 JUN,-32.8
2009 JUL,-42
2009 AUG,-27
2009 SEP,-26.9
2009 OCT,-13.2
2009 NOV,-4.9
2009 DEC,6
2010 JAN,27
2010 FEB,18.9
2010 MAR,37.4
2010 APR,35.9
2010 MAY,35.7
2010 JUN,21
2010 JUL,31.4
2010 AUG,19.7
2010 SEP,21.9
2010 OCT,19.2
2010 NOV,19.7
2010 DEC,44
2011 JAN,21.2
2011 FEB,30.6
2011 MAR,32.5
2011 APR,32.4
2011 MAY,23.7
2011 JUN,30.2
2011 JUL,28.5
2011 AUG,24.7
2011 SEP,28.2
2011 OCT,23.8
2011 NOV,26.7
2011 DEC,3.8
2012 JAN,4.3
2012 FEB,10.2
2012 MAR,4
2012 APR,-0.6
2012 MAY,1.3
2012 JUN,-7.4
2012 JUL,-2.9
2012 AUG,6.2
2012 SEP,6
2012 OCT,7.4
2012 NOV,0
2012 DEC,4
2013 JAN,1.9
2013 FEB,5.7
2013 MAR,3.1
2013 APR,-0.6
2013 MAY,-1.3
2013 JUN,5.3
2013 JUL,5.4
2013 AUG,-0.4
2013 SEP,-0.8
2013 OCT,-4.2
2013 NOV,-3.8
2013 DEC,-5.7
2014 JAN,-5
2014 FEB,-9.7
2014 MAR,-11.1
2014 APR,-8.1
2014 MAY,-3.7
2014 JUN,-4.1
2014 JUL,-6.8
2014 AUG,-6.7
2014 SEP,-9.7
2014 OCT,-11.2
2014 NOV,-10.7
2014 DEC,-18.8
2015 JAN,-26.6
2015 FEB,-23.4
2015 MAR,-23.5
2015 APR,-22.6
2015 MAY,-20.8
2015 JUN,-22
2015 JUL,-24.2
2015 AUG,-31.3
2015 SEP,-29.5
2015 OCT,-26.5
2015 NOV,-27.8
2015 DEC,-27.4
2016 JAN,-24.5
2016 FEB,-30.2
2016 MAR,-23.6
2016 APR,-22
2016 MAY,-18.8
2016 JUN,-11.2
2016 JUL,-7.8
2016 AUG,0.1
2016 SEP,2.5
2016 OCT,15
2016 NOV,14
2016 DEC,31.2
2017 JAN,49.4
2017 FEB,52.9
2017 MAR,37.7
2017 APR,35.5
2017 MAY,21.6
2017 JUN,12
2017 JUL,11.2
2017 AUG,16.9
2017 SEP,16.2
2017 OCT,4.5
2017 NOV,16.2
2017 DEC,14.7
2018 JAN,10.5
2018 FEB,10.5
2018 MAR,19.8
2018 APR,20
2018 MAY,30.7
2018 JUN,31.4
2018 JUL,30
2018 AUG,26.9
2018 SEP,28
2018 OCT,35.2
2018 NOV,20.1
2018 DEC,7.1
2019 JAN,1.8
2019 FEB,5
2019 MAR,1.3
2019 APR,2.1
2019 MAY,0.4
2019 JUN,-1.9
2019 JUL,-0.8
2019 AUG,-0.5
2019 SEP,-4.4
2019 OCT,-7.8
2019 NOV,-5.4
2019 DEC,-0.2
2020 JAN,5.6
2020 FEB,-5.3
2020 MAR,-18.1
2020 APR,-32.1
2020 MAY,-35.7
2020 JUN,-26.4
2020 JUL,-25.6
2020 AUG,-26.8
2020 SEP,-28.9
2020 OCT,-28.8
2020 NOV,-29.8
2020 DEC,-21.4
2021 JAN,-19.3
2021 FEB,-6.5
2021 MAR,10.2
2021 APR,28.8
2021 MAY,39.3
2021 JUN,28.5
2021 JUL,28.6
2021 AUG,27.7
2021 SEP,36.1
2021 OCT,52.1
2021 NOV,62.5
2021 DEC,41.6
2022 JAN,39.5
2022 FEB,43.5
2022 MAR,88.9
2022 APR,85.7
2022 MAY,92
2022 JUN,96.8
2022 JUL,87.9
2022 AUG,67.8
2022 SEP,79.2
2022 OCT,57.2
2022 NOV,47.2
2022 DEC,40
2023 JAN,34
2023 FEB,18.4
2023 MAR,-16.9
2023 APR,-20.6
2023 MAY,-31.3
